"","web_date","type","desc_title","proposal_id","proposal_link","period","status","proposal_filename"
"258","06.12.2001","A","Euro-Währungsangabengesetz, Änderung","520/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00520/index.shtml","XXI","nicht beschlossen","XXI_520A"
"259","23.11.2001","A","Straßenverkehrsordnung, Änderung","555/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00555/index.shtml","XXI","nicht beschlossen","XXI_555A"
"260","23.11.2001","A","Bundesgesetz, mit dem die XXI. Gesetzgebungsperiode des Nationalrates vorzeitig beendet wird","552/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00552/index.shtml","XXI","nicht beschlossen","XXI_552A"
"261","23.11.2001","A","ÖIAG-Gesetz 2000","472/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00472/index.shtml","XXI","nicht beschlossen","XXI_472A"
"262","22.11.2001","A","Bundesverfassungsgesetz über die Begrenzung von Bezügen öffentlicher Funktionäre, Änderung","539/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00539/index.shtml","XXI","nicht beschlossen","XXI_539A"
"263","15.11.2001","A","Wohnrechtsnovelle 2000","129/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00129/index.shtml","XXI","beschlossen","XXI_129A"
"264","14.11.2001","RV","Bundesgesetz über die Einbringung der Österreichischen Postsparkasse in eine Aktiengesellschaft, Postsparkassengesetz u.a., Änderung","49 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00049/index.shtml","XXI","beschlossen","XXI_49dB"
"265","14.11.2001","RV","ÖIAG-Gesetz 2000","48 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00048/index.shtml","XXI","beschlossen","XXI_48dB"
"266","14.11.2001","A","Verwaltungsgerichtsordnung","170/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00170/index.shtml","XXI","nicht beschlossen","XXI_170A"
"267","14.11.2001","A","Bundes-Verfassungsgesetz zur Einführung einer Landesverwaltungsgerichtsbarkeit, Änderung","169/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00169/index.shtml","XXI","nicht beschlossen","XXI_169A"
"268","08.11.2001","BUA","Bundesverfassungsgesetz über die Begrenzung von Bezügen öffentlicher Funktionäre, Bundesbezügegesetz, Änderung","825 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00825/index.shtml","XXI","beschlossen","XXI_825dB"
"269","08.11.2001","BUA","Schaffung eines Österreichischen Ehrenzeichens für Wissenschaft und Kunst, Änderung","812 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00812/index.shtml","XXI","beschlossen","XXI_812dB"
"270","08.11.2001","BUA","Errichtung eines Rates für Fragen der österreichischen Integrationspolitik und das Kriegsmaterialgesetz, Änderung","810 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00810/index.shtml","XXI","beschlossen","XXI_810dB"
"271","08.11.2001","BUA","Bundesgesetz über die allgemein beeideten und gerichtlich zertifizierten Sachverständigen und Dolmetscher, Änderung","790 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00790/index.shtml","XXI","beschlossen","XXI_790dB"
"272","08.11.2001","RV","Euro-Rechtsanwaltstarif-Novelle; Gerichtskommissionstarifgesetz, Notariatstarifgesetz","760 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00760/index.shtml","XXI","beschlossen","XXI_760dB"
"273","08.11.2001","RV","Euro-Gerichtsgebühren-Novelle","759 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00759/index.shtml","XXI","beschlossen","XXI_759dB"
"274","08.11.2001","RV","Strafrechtsänderungsgesetz 2001","754 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00754/index.shtml","XXI","beschlossen","XXI_754dB"
"275","08.11.2001","RV","Gleichbehandlungsgesetz, Änderung","745 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00745/index.shtml","XXI","beschlossen","XXI_745dB"
"276","08.11.2001","RV","2. Euro-Umstellungsgesetz - Bund","742 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00742/index.shtml","XXI","beschlossen","XXI_742dB"
"277","08.11.2001","RV","Verwaltungsverfahrensnovelle 2001","723 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00723/index.shtml","XXI","beschlossen","XXI_723dB"
"278","08.11.2001","RV","Bundes-Verfassungsgesetz, Änderung","622 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00622/index.shtml","XXI","beschlossen","XXI_622dB"
"279","08.11.2001","RV","Bundesverfassungsgesetz über den Abschluss des Vertrages von Nizza","565 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00565/index.shtml","XXI","beschlossen","XXI_565dB"
"280","08.11.2001","RV","Bundesgesetz über Funkanlagen und Telekommunikationsendeinrichtungen; Telekommunikationsgesetz, Bundesgesetz über die Verkehrs-Arbeitsinspektion, Änderung","483 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00483/index.shtml","XXI","beschlossen","XXI_483dB"
"281","08.11.2001","A","Jugendausbildungs-Sicherungsgesetz, Änderung","519/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00519/index.shtml","XXI","beschlossen","XXI_519A"
"282","08.11.2001","A","Bundes-Ehrenzeichengesetz","513/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00513/index.shtml","XXI","beschlossen","XXI_513A"
"283","08.11.2001","A","Nationaler Sicherheitsrat; Wehrgesetz, Änderung","505/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00505/index.shtml","XXI","beschlossen","XXI_505A"
"284","08.11.2001","A","Wirtschaftstreuhandberufsgesetz, Änderung","500/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00500/index.shtml","XXI","beschlossen","XXI_500A"
"285","24.10.2001","RV","Strafprozessnovelle 2001","755 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00755/index.shtml","XXI","beschlossen","XXI_755dB"
"286","24.10.2001","RV","Strafgesetzbuch, Strafprozeßordnung u.a., Änderung","487 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00487/index.shtml","XXI","beschlossen","XXI_487dB"
"287","24.10.2001","A","Strafgesetzbuch, Änderung","257/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00257/index.shtml","XXI","beschlossen","XXI_257A"
"288","11.10.2001","RV","Bundesfinanzgesetz 2001, Änderung (7. BFG-Novelle 2001)","764 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00764/index.shtml","XXI","beschlossen","XXI_764dB"
"289","09.10.2001","A","Arbeitszeitgesetz, Arbeitsruhegesetz, Änderung","471/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00471/index.shtml","XXI","nicht beschlossen","XXI_471A"
"290","26.09.2001","A","Offenlegung von Einkommen und Vermögen im öffentlichen Bereich","521/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00521/index.shtml","XXI","nicht beschlossen","XXI_521A"
"291","26.09.2001","A","Wehrgesetz, Änderung","514/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00514/index.shtml","XXI","nicht beschlossen","XXI_514A"
"292","26.09.2001","A","Angestelltengesetz, Änderung","494/A","https://www.parlament.gv.at/PAKT/VHG/XXI/A/A_00494/index.shtml","XXI","nicht beschlossen","XXI_494A"
"293","20.07.2001","BUA","Landarbeitsgesetz 1984, Änderung","729 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00729/index.shtml","XXI","beschlossen","XXI_729dB"
"294","20.07.2001","RV","IAF-Service GmbH; Bundessozialämtergesetz, Insolvenz-Entgeltsicherungsgesetz u.a., Änderung","666 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00666/index.shtml","XXI","beschlossen","XXI_666dB"
"295","20.07.2001","RV","Finanzmarktaufsichtsgesetz","641 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00641/index.shtml","XXI","beschlossen","XXI_641dB"
"296","20.07.2001","RV","Dienstrechts-Novelle 2001 - Universitäten","636 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00636/index.shtml","XXI","beschlossen","XXI_636dB"
"297","20.07.2001","RV","Privatfernsehgesetz","635 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00635/index.shtml","XXI","beschlossen","XXI_635dB"
"298","20.07.2001","RV","Rundfunkgesetz, Arbeitsverfassungsgesetz, Änderung","634 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00634/index.shtml","XXI","beschlossen","XXI_634dB"
"299","20.07.2001","RV","Österreichischer Beitrag zum Treuhandfonds für hochverschuldete arme Länder (HIPC-Trust Fund)","633 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00633/index.shtml","XXI","beschlossen","XXI_633dB"
"300","20.07.2001","RV","Abschluss von Kooperationsvereinbarungen mit internationalen Finanzinstitutionen","632 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00632/index.shtml","XXI","beschlossen","XXI_632dB"
"301","20.07.2001","RV","Veräußerung der Anteile des Bundes an der Österreichischer Bundesverlag Gesellschaft mit beschränkter Haftung; Neuregelung der Rechtsstellung des Österreichischen Bundesverlages, Änderung","631 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00631/index.shtml","XXI","beschlossen","XXI_631dB"
"302","20.07.2001","RV","Universitäts-Studiengesetz, Änderung","630 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00630/index.shtml","XXI","beschlossen","XXI_630dB"
"303","20.07.2001","RV","Ärztegesetz, Änderung (2. Ärztegesetz-Novelle)","629 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00629/index.shtml","XXI","beschlossen","XXI_629dB"
"304","20.07.2001","RV","Apothekerkammergesetz 2001","628 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00628/index.shtml","XXI","beschlossen","XXI_628dB"
"305","20.07.2001","RV","28. Novelle zum B-KUVG","627 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00627/index.shtml","XXI","beschlossen","XXI_627dB"
"306","20.07.2001","RV","Bauern-Sozialversicherungsgesetz, Änderung (24. Novelle zum BSVG)","626 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXI/I/I_00626/index.shtml","XXI","beschlossen","XXI_626dB"
